schema,schema_id,capacity,wide,owner,gap,processes,median_ns,minimum_ns,maximum_ns,extra_bytes,layout_identity,effective_median_ns
EntityData,0,131072,0,1,0,3,455830.0,446144.0,457877.0,0,f1c3e3dff5800203263451b0fb571291498336b4c010846051040461e3bcb3ac,455830.0
EntityData,0,131072,1,0,0,3,7366541.0,7364995.0,7369898.0,0,f1c3e3dff5800203263451b0fb571291498336b4c010846051040461e3bcb3ac,7366541.0
EntityData,0,131072,1,0,64,3,1389692.0,1386241.0,1415382.0,3328,1dda6701852a50c523b06c841bc01307dc1073be6ca9271e941e6f592c6f3ade,1389692.0
EntityData,0,131072,1,0,192,3,1409136.0,1404716.0,1410907.0,9984,14b9ffb9968bdaa0db82ce2ff5e8b06cb5d31a5f94b416318bcc018b2de3ae34,1409136.0
EntityData,0,131072,1,1,0,3,7393223.0,7252175.0,7395742.0,0,f1c3e3dff5800203263451b0fb571291498336b4c010846051040461e3bcb3ac,7393223.0
SpacingDoubles,1,65536,0,0,0,3,1564490.0,1563789.0,1589726.0,0,84ef08df3d68d2c6e99ca7856f527abcf0f2a4fda49c3ebfcbfc6e7a74a95b20,1564490.0
SpacingDoubles,1,65536,0,0,64,3,1554067.0,1547627.0,1567009.0,1472,6a784259155b7cab5390e3bebb706e2d9406dbaa4c293fbed535e14f1725a896,1554067.0
SpacingDoubles,1,65536,0,0,192,3,1580268.0,1549631.0,1583447.0,4416,651e93e5e6887e0d20e82d22a7691475c12d3e2d0c1e75f9dba0d49acca3a08e,1580268.0
SpacingDoubles,1,65536,1,0,0,3,11404764.0,11353710.0,12029387.0,0,84ef08df3d68d2c6e99ca7856f527abcf0f2a4fda49c3ebfcbfc6e7a74a95b20,11404764.0
SpacingDoubles,1,65536,1,0,64,3,6204981.0,6086242.0,6212433.0,1472,6a784259155b7cab5390e3bebb706e2d9406dbaa4c293fbed535e14f1725a896,6204981.0
SpacingDoubles,1,65536,1,0,192,3,6052260.0,6052247.0,6187907.0,4416,651e93e5e6887e0d20e82d22a7691475c12d3e2d0c1e75f9dba0d49acca3a08e,6052260.0
SpacingDoubles,1,75008,0,0,0,3,1574217.0,1529640.0,1583289.0,0,6b0a82c2f05a9c661d9287e953947f6cf0566f94ad61f708418a28d05c9165fb,1574217.0
SpacingDoubles,1,75008,0,0,64,3,1549635.0,1543151.0,1578054.0,1472,1004be3af5f56123d5f56e1c1f106c42e148d09e52e3da68d4c8d9a436aa5d3e,1549635.0
SpacingDoubles,1,75008,0,0,192,3,1578607.0,1528601.0,1583692.0,4416,2683b9e0044a7bc4263486a0e906f67cb0288607fc269d1ec7e3203ad11dba2e,1578607.0
SpacingDoubles,1,75008,1,0,0,3,6264606.0,6257377.0,6269645.0,0,6b0a82c2f05a9c661d9287e953947f6cf0566f94ad61f708418a28d05c9165fb,6264606.0
SpacingDoubles,1,75008,1,0,64,3,6081165.0,6048503.0,6194207.0,1472,1004be3af5f56123d5f56e1c1f106c42e148d09e52e3da68d4c8d9a436aa5d3e,6081165.0
